trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
69,False,"{'a': 0.3, 'e': 0.5374067620396636}",20,0,3.8831702388521663,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
70,False,"{'a': 0.3, 'e': 0.5325918010068972}",30,0,-51.02154169190925,"{0: 24, 1: 0, 2: 5, 3: 0, 4: 1}",0
71,False,"{'a': 0.3, 'e': 0.5278199802012077}",35,0,-96.36303828685459,"{0: 26, 1: 2, 2: 4, 3: 2, 4: 1}",0
72,False,"{'a': 0.3, 'e': 0.5230909131025009}",20,8,-44.41609135884012,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 1}",1
73,False,"{'a': 0.3, 'e': 0.518404216653756}",20,9,21.107062519502342,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
74,False,"{'a': 0.3, 'e': 0.5137595112299984}",20,4,4.05699965844715,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
75,False,"{'a': 0.3, 'e': 0.5091564206075492}",20,0,-12.480498122302574,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
76,False,"{'a': 0.3, 'e': 0.5045945719335512}",25,0,-45.6184157351048,"{0: 19, 1: 0, 2: 5, 3: 1, 4: 0}",0
77,False,"{'a': 0.3, 'e': 0.5000735956957677}",20,0,-0.06579584798002003,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
78,False,"{'a': 0.3, 'e': 0.49559312569265146}",20,14,9.012214249409983,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
79,False,"{'a': 0.3, 'e': 0.49115279900368264}",25,13,-35.15489461438732,"{0: 9, 1: 2, 2: 0, 3: 0, 4: 1}",1
80,False,"{'a': 0.3, 'e': 0.4867522559599717}",25,9,-33.36866988164878,"{0: 11, 1: 2, 2: 2, 3: 1, 4: 0}",1
81,False,"{'a': 0.3, 'e': 0.4823911401151259}",20,10,4.935597691119357,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
82,False,"{'a': 0.3, 'e': 0.4780690982163776}",20,0,-4.7030082434568214,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
83,False,"{'a': 0.3, 'e': 0.4737857801759698}",20,6,2.77140850975014,"{0: 11, 1: 2, 2: 1, 3: 0, 4: 0}",1
84,False,"{'a': 0.3, 'e': 0.4695408390427993}",25,0,11.676446171574767,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
85,False,"{'a': 0.3, 'e': 0.4653339309743134}",20,0,4.049819351033733,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
86,False,"{'a': 0.3, 'e': 0.4611647152086585}",20,8,-3.9952246879394733,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
87,False,"{'a': 0.3, 'e': 0.45703285403707794}",25,3,5.784350521966527,"{0: 19, 1: 1, 2: 2, 3: 0, 4: 0}",1
88,False,"{'a': 0.3, 'e': 0.45293801277655776}",30,16,-18.509470978725325,"{0: 10, 1: 0, 2: 4, 3: 0, 4: 0}",1
89,False,"{'a': 0.3, 'e': 0.448879859742717}",20,6,-30.690313226105218,"{0: 10, 1: 0, 2: 3, 3: 1, 4: 0}",1
90,False,"{'a': 0.3, 'e': 0.44485806622294116}",20,10,-3.7560894252236974,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
91,False,"{'a': 0.3, 'e': 0.44087230644975617}",25,0,-72.07629411520006,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
92,False,"{'a': 0.3, 'e': 0.4369222575744412}",30,20,-18.211588316116902,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 0}",1
93,False,"{'a': 0.3, 'e': 0.43300759964087765}",25,18,1.6382524778267111,"{0: 5, 1: 2, 2: 0, 3: 0, 4: 0}",1
94,False,"{'a': 0.3, 'e': 0.42912801555963254}",20,13,1.3238612427341276,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
95,False,"{'a': 0.3, 'e': 0.42528319108227414}",20,0,-41.15998495962117,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
96,False,"{'a': 0.3, 'e': 0.42147281477591764}",35,17,20.876749797889424,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
97,False,"{'a': 0.3, 'e': 0.41769657799799886}",20,7,-34.12257522090231,"{0: 9, 1: 0, 2: 3, 3: 1, 4: 0}",1
98,False,"{'a': 0.3, 'e': 0.4139541748712741}",25,0,-106.50730673592956,"{0: 19, 1: 1, 2: 1, 3: 2, 4: 2}",1
99,False,"{'a': 0.3, 'e': 0.41024530225904404}",20,0,-45.21805051193503,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
100,False,"{'a': 0.3, 'e': 0.40656965974059917}",30,19,18.705537713195927,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
